Date/Time;Radiated Energy (e10 J);Impact energy (kt);Velocity (km/s);Altitude (km);Longitude (deg.);Latitude (deg.);Latitude direction (East / West);Latitude direction (North / South);Geo point
2018-01-15T03:18:38+01:00;19.9;0.56;23;43.6;57;52;E;S;52.0, 57.2
2017-12-29T13:47:31+01:00;11.0;0.33;;38.0;49;14;W;N;14.6, 49.5
2017-12-15T14:14:37+01:00;311.4;6.4;31;20.0;170;60;E;N;60.2, 170.0
2017-11-19T05:17:32+01:00;2.8;0.098;11;33.3;135;24;E;S;24.2, 135.0
2017-10-23T17:31:23+02:00;2.4;0.086;16;35.4;44;28;E;N;28.8, 44.6
2017-10-04T14:07:05+02:00;19.2;0.54;14;37.0;99;28;E;N;28.1, 99.4
2017-06-20T15:41:32+02:00;63.6;1.6;13;33.3;133;54;E;S;54.2, 133.0
2017-03-08T23:21:59+01:00;7.2;0.23;;37.0;174;26;E;S;26.1, 174.9
2017-02-18T20:48:29+01:00;29.5;0.79;24;38.0;60;6;E;N;6.2, 60.4
2017-02-07T18:37:31+01:00;2.0;0.073;;54.0;14;27;W;S;27.4, 14.8
2016-12-07T05:51:39+01:00;11.7;0.35;;;126;34;W;S;34.5, 126.6
2016-11-29T09:05:38+01:00;3.1;0.11;;;93;30;W;S;30.6, 93.1
2016-08-27T23:45:13+02:00;14.2;0.41;;42.0;162;56;E;S;56.9, 162.2
2016-07-21T02:48:53+02:00;4.5;0.15;;37.0;1;7;W;N;7.8, 1.6
2016-07-05T03:24:26+02:00;15.3;0.44;25;38.2;48;1;E;N;1.0, 48.6
2016-06-27T12:02:42+02:00;45.8;1.2;29;33.3;11;15;W;N;15.8, 11.9
2016-04-12T11:51:40+02:00;2.0;0.073;;;162;38;E;N;38.3, 162.2
2016-03-03T02:32:43+01:00;5.8;0.19;11;31.8;51;48;E;S;48.0, 51.0
2016-01-27T10:59:16+01:00;5.0;0.16;11;37.0;53;45;E;S;45.8, 53.6
2015-12-30T14:07:50+01:00;2.2;0.079;;39.0;160;33;W;N;33.8, 160.7
2015-12-08T01:34:23+01:00;19.7;0.55;;38.0;150;69;E;S;69.9, 150.5
2015-11-13T15:59:27+01:00;10.2;0.31;;28.0;124;16;E;N;16.0, 124.3
2015-10-13T14:23:08+02:00;2.3;0.082;12;38.9;52;8;W;S;8.0, 52.5
2015-10-11T02:07:46+02:00;3.0;0.1;;;18;55;W;S;55.4, 18.8
2015-10-04T23:02:17+02:00;4.4;0.15;;36.1;171;22;W;N;22.0, 171.6
2015-08-04T12:24:59+02:00;2.9;0.1;;;125;9;E;S;9.6, 125.9
2015-06-10T19:43:03+02:00;38.4;1.0;;61.1;161;11;W;S;11.5, 161.9
2015-06-02T10:44:50+02:00;38.0;0.99;;;142;6;W;S;6.4, 142.7
2015-05-10T09:45:01+02:00;14.3;0.42;12;29.6;179;46;W;S;46.3, 179.3
2015-04-03T03:39:38+02:00;4.2;0.14;;;157;8;W;N;8.4, 157.9
2015-03-08T05:26:28+01:00;2.0;0.073;;;118;39;W;S;39.1, 118.6
2015-02-26T23:06:24+01:00;18.8;0.53;21;33.7;149;68;W;N;68.0, 149.0
2015-02-25T11:53:24+01:00;5.8;0.19;;42.0;122;12;W;N;12.4, 122.4
2015-01-07T02:05:59+01:00;13.6;0.4;35;45.5;26;45;E;N;45.7, 26.9
2015-01-02T14:39:19+01:00;2.0;0.073;18;38.1;140;31;E;S;31.1, 140.0
2014-11-27T13:12:52+01:00;5.5;0.18;;38.0;73;18;W;S;18.8, 73.4
2014-11-27T00:16:51+01:00;11.8;0.35;25;23.3;179;69;W;S;69.5, 179.7
